id,name
budget,Budget Committee
811Day,811 Day Committee
craigRogers,Craig Rogers Award Committee
educationTraining,Education & Training Committee
golfTournament,Golf Tournament Fundraiser Committee
utilityLocateRodeo,Utility Locate Rodeo Committee
operations,Operations Committee
silverShovel,Silver Shovel Award Committee
techSolutions,Technical Solutions Committee
embeddedFacilities,Facilities Embedded in Sidewalks Task Force


